STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1957-01-01,,,1.68,",,,0",29.2,",0",36.4,",,,0",21.9,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1957-02-01,,,2.81,",,,0",37.4,",0",44.4,",,,0",30.4,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1957-03-01,,,3.24,",,,0",42.3,",0",50.1,",,,0",34.5,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1957-04-01,,,4.22,",,,0",54.2,",0",64.3,",,,0",44.1,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1957-05-01,,,1.21,",,,0",63.4,",0",74.4,",,,0",52.4,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1957-06-01,,,2.42,",,,0",74.9,",0",85.6,",,,0",64.2,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1957-07-01,,,0.64,",,,0",76.5,",0",87.9,",,,0",65.2,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1957-08-01,,,3.38,",,,0",73.2,",0",83.8,",,,0",62.6,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1957-09-01,,,3.1,",,,0",69.2,",0",78.2,",,,0",60.2,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1957-10-01,,,2.05,",,,0",54.1,",0",63.5,",,,0",44.6,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1957-11-01,,,2.98,",,,0",47.7,",0",55.9,",,,0",39.6,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1957-12-01,,,4.5,",,,0",39.4,",0",46.2,",,,0",32.6,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1958-01-01,,,3.54,",,,0",31.8,",0",38.4,",,,0",25.1,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1958-02-01,,,4.65,",,,0",28.2,",0",34.8,",,,0",21.6,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1958-03-01,,,4.98,",,,0",39.9,",0",46.0,",,,0",33.7,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1958-04-01,,,4.2,",,,0",54.2,",0",63.7,",,,0",44.7,",,,0"
